V_flux,V_flux_err,V_mag,V_mag_err,I_flux,I_flux_err,I_mag,I_mag_err,V_minus_I,color_err,X_pos,Y_pos,Main_Sequence
264.0986,3.2008,19.9495,0.0132,163.2647,1.2308,19.1663,0.0082,0.7832,0.0155,5145.0000,5441.0000,True
263.9483,3.2098,19.9501,0.0132,202.4585,1.4910,18.9327,0.0080,1.0174,0.0154,2380.0000,4518.0000,False
263.8429,3.2086,19.9505,0.0132,164.0602,1.2057,19.1610,0.0080,0.7895,0.0154,3877.0000,4001.0000,True
261.4605,3.2642,19.9604,0.0136,164.1861,1.2046,19.1602,0.0080,0.8002,0.0157,3612.0000,1466.0000,True
260.6501,3.1590,19.9638,0.0132,164.0615,1.2169,19.1610,0.0081,0.8028,0.0154,3479.0000,5116.0000,True
260.0959,3.1536,19.9661,0.0132,167.4267,1.2314,19.1389,0.0080,0.8271,0.0154,2585.0000,5312.0000,True
259.8582,3.1587,19.9671,0.0132,167.7125,1.2646,19.1371,0.0082,0.8300,0.0155,5080.0000,3044.0000,True
259.4679,3.1572,19.9687,0.0132,168.7058,1.2537,19.1307,0.0081,0.8380,0.0155,4527.0000,2627.0000,True
259.2358,3.1513,19.9697,0.0132,182.4115,1.3324,19.0459,0.0079,0.9238,0.0154,4685.0000,2055.0000,True
258.0844,3.1366,19.9745,0.0132,175.8048,1.2820,19.0859,0.0079,0.8886,0.0154,3375.0000,2316.0000,True
257.0008,3.1209,19.9791,0.0132,249.5052,1.8074,18.7058,0.0079,1.2733,0.0154,3246.0000,3895.0000,False
253.7876,3.0791,19.9927,0.0132,183.4605,1.3307,19.0396,0.0079,0.9531,0.0153,1632.0000,2003.0000,True
252.7919,3.0710,19.9970,0.0132,145.2030,1.0916,19.2936,0.0082,0.7034,0.0155,4706.0000,3197.0000,True
250.4671,3.0423,20.0070,0.0132,149.0681,1.1119,19.2650,0.0081,0.7420,0.0155,2915.0000,3116.0000,True
250.2841,3.0361,20.0078,0.0132,161.8146,1.1913,19.1760,0.0080,0.8319,0.0154,4384.0000,3789.0000,True
248.8091,3.0273,20.0142,0.0132,194.1233,1.4235,18.9783,0.0080,1.0359,0.0154,2699.0000,4195.0000,False
248.3061,3.2213,20.0164,0.0141,198.4936,1.5765,18.9541,0.0086,1.0623,0.0165,2646.0000,4493.0000,False
246.7505,3.0039,20.0233,0.0132,150.9023,1.1298,19.2518,0.0081,0.7715,0.0155,1748.0000,5289.0000,True
246.7363,3.0364,20.0233,0.0134,168.3434,1.2390,19.1330,0.0080,0.8903,0.0156,4823.0000,3308.0000,True
246.1272,2.9977,20.0260,0.0132,179.4515,1.3193,19.0636,0.0080,0.9624,0.0154,2424.0000,347.0000,True
243.6963,2.9869,20.0368,0.0133,161.3937,1.1945,19.1788,0.0080,0.8580,0.0155,4237.0000,4255.0000,True
